ImageId,has_defect,defect_map,class
000418bfc.jpg,0,[0 0 0 0],0
001982b08.jpg,0,[0 0 0 0],0
001d3d093.jpg,0,[0 0 0 0],0
0025bde0c.jpg,1,[0 0 1 1],2
005d86c25.jpg,1,[0 0 1 0],2
008479d08.jpg,0,[0 0 0 0],0
00af2671f.jpg,1,[0 0 1 0],2
00cdb56a0.jpg,1,[0 0 1 0],2
00dcb19f3.jpg,0,[0 0 0 0],0
00ded7837.jpg,0,[0 0 0 0],0
010db68d1.jpg,1,[1 0 0 0],0
01338c0ea.jpg,1,[0 0 1 0],2
014409fcc.jpg,0,[0 0 0 0],0
0148e9891.jpg,1,[0 0 1 0],2
014ebe543.jpg,1,[0 0 1 0],2
01661826d.jpg,1,[1 0 0 0],0
016efe618.jpg,1,[0 0 0 1],3
01e020dc5.jpg,1,[0 0 1 0],2
01fd320c9.jpg,1,[0 0 1 0],2
0202a5f22.jpg,0,[0 0 0 0],0
020ff3106.jpg,1,[0 0 1 0],2
0217af9b1.jpg,1,[0 0 1 0],2
02709b038.jpg,0,[0 0 0 0],0
027b280f4.jpg,0,[0 0 0 0],0
0285f63ad.jpg,0,[0 0 0 0],0
028ed7768.jpg,1,[0 0 1 0],2
02b6b9f29.jpg,0,[0 0 0 0],0
02bf279c9.jpg,1,[0 0 1 0],2
031f334ec.jpg,1,[0 0 1 0],2
03216ed91.jpg,0,[0 0 0 0],0
034941f9d.jpg,1,[0 0 1 0],2
034a72783.jpg,0,[0 0 0 0],0
034b387c3.jpg,0,[0 0 0 0],0
0360edfb8.jpg,1,[0 0 1 0],2
037887e11.jpg,0,[0 0 0 0],0
037fca267.jpg,1,[0 0 1 0],2
0386ce84b.jpg,1,[0 0 1 0],2
0391d44d6.jpg,1,[0 0 1 1],2
0399d7c46.jpg,0,[0 0 0 0],0
03ab4e3ea.jpg,1,[0 0 1 0],2
03ae2bc91.jpg,0,[0 0 0 0],0
04072b39a.jpg,1,[0 0 1 0],2
040de71ca.jpg,0,[0 0 0 0],0
047fa15d0.jpg,1,[0 0 1 0],2
04802a6c2.jpg,0,[0 0 0 0],0
04b0f819d.jpg,0,[0 0 0 0],0
04e15fdc1.jpg,0,[0 0 0 0],0
05184e71b.jpg,1,[0 0 1 0],2
051f0d825.jpg,1,[0 0 1 0],2
